Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_available,Ratings,Route_name,Route_link
APSRTC - 9319,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:00,18:35,05h 35m,412.0,32 Seats available,4.2,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 35154,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:00,20:20,07h 20m,412.0,25 Seats available,3.7,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 3576,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),13:00,19:30,06h 30m,633.0,34 Seats available,3.8,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 3578,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),14:00,20:00,06h 00m,633.0,45 Seats available,3.6,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 9363,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,19:35,05h 35m,412.0,32 Seats available,2.3,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
FRESHBUS,Electric A/C Seater (2+2),12:00,17:55,05h 55m,349.0,22 Seats available,4.7,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
FRESHBUS,Electric A/C Seater (2+2),12:05,18:50,06h 45m,349.0,23 Seats available,4.7,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
FRESHBUS,Electric A/C Seater (2+2),23:20,05:45,06h 25m,398.0,22 Seats available,4.6,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
AdYolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),22:25,05:09,06h 44m,450.0,35 Seats available,4.3,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
FRESHBUS,Electric A/C Seater (2+2),22:35,05:05,06h 30m,450.0,22 Seats available,4.6,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 24277,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:00,16:30,03h 30m,281.0,34 Seats available,3.8,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 2540,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:15,17:45,04h 30m,281.0,34 Seats available,3.3,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 4929,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:30,17:40,04h 10m,281.0,33 Seats available,3.6,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 2817,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),13:30,16:30,03h 00m,340.0,43 Seats available,3.9,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 3416,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,18:00,04h 00m,281.0,30 Seats available,4.4,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 2667,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,17:00,03h 00m,281.0,23 Seats available,3.9,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 24265,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:10,17:30,03h 20m,281.0,34 Seats available,2.6,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 23567,INDRA(A.C. Seater),14:20,17:30,03h 10m,306.0,36 Seats available,3.8,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 2819,INDRA(A.C. Seater),14:30,17:30,03h 00m,340.0,33 Seats available,3.0,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 23549,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:45,19:15,04h 30m,281.0,34 Seats available,3.8,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 2669,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:00,18:00,03h 00m,281.0,34 Seats available,3.1,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 2532,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:10,19:45,04h 35m,281.0,34 Seats available,3.8,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 3474,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:20,19:30,04h 10m,281.0,34 Seats available,3.8,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 2689,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:30,18:30,03h 00m,281.0,30 Seats available,3.7,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 24279,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:40,19:30,03h 50m,281.0,34 Seats available,3.8,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
Gaganasri Travels,Non A/C Seater / Sleeper (2+1),23:50,03:30,03h 40m,5000.0,1 Seat available,0.0,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 9982,Express(Non AC Seater),13:30,17:10,03h 40m,186.0,40 Seats available,4.4,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 5390,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,17:35,03h 35m,256.0,17 Seats available,4.4,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 47224,Express(Non AC Seater),14:30,18:05,03h 35m,220.0,42 Seats available,4.5,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 4565,Express(Non AC Seater),15:00,20:00,05h 00m,186.0,43 Seats available,4.1,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 9047,Express(Non AC Seater),15:30,18:55,03h 25m,186.0,43 Seats available,4.1,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 9007,Express(Non AC Seater),15:45,19:45,04h 00m,186.0,40 Seats available,4.2,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 47236,Express(Non AC Seater),16:15,20:20,04h 05m,186.0,45 Seats available,4.7,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 9011,Express(Non AC Seater),16:30,20:15,03h 45m,186.0,42 Seats available,3.8,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 9049,Express(Non AC Seater),17:15,20:40,03h 25m,186.0,45 Seats available,4.0,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 9888,Express(Non AC Seater),19:00,23:20,04h 20m,186.0,45 Seats available,3.3,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 9003,Express(Non AC Seater),20:00,00:25,04h 25m,186.0,44 Seats available,4.6,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 9041,Express(Non AC Seater),21:00,01:25,04h 25m,220.0,47 Seats available,3.9,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 9061,Express(Non AC Seater),21:45,01:10,03h 25m,186.0,45 Seats available,3.8,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 5524,Express(Non AC Seater),22:45,02:55,04h 10m,186.0,41 Seats available,3.8,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
