Route_name,Route_link
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
Balmiki Nagar (bihar) to Patna (Bihar),https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna
Patna (Bihar) to Katihar,https://www.redbus.in/bus-tickets/patna-to-katihar
Motihari to Delhi,https://www.redbus.in/bus-tickets/motihari-to-delhi
Patna (Bihar) to Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar
Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari
Muzaffarpur (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/muzaffarpur-to-ranchi
Patna (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/patna-to-ranchi
Patna (Bihar) to Kathmandu,https://www.redbus.in/bus-tickets/patna-to-kathmandu
Ranchi to Patna (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-patna
Hazaribagh to Patna (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-patna
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea
Ranchi to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-muzaffarpur
Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh
Katihar to Patna (Bihar),https://www.redbus.in/bus-tickets/katihar-to-patna
Muzaffarpur (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/muzaffarpur-to-hazaribagh
Patna (Bihar) to Raxaul,https://www.redbus.in/bus-tickets/patna-to-raxaul
Muzaffarpur (Bihar) to Kathmandu,https://www.redbus.in/bus-tickets/muzaffarpur-to-kathmandu
Motihari to Kathmandu,https://www.redbus.in/bus-tickets/motihari-to-kathmandu
Hazaribagh to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-muzaffarpur
Patna (Bihar) to Forbesganj,https://www.redbus.in/bus-tickets/patna-to-forbesganj
Patna (Bihar) to Darbhanga,https://www.redbus.in/bus-tickets/patna-to-darbhanga
Patna (Bihar) to Saharsa,https://www.redbus.in/bus-tickets/patna-to-saharsa
Patna (Bihar) to Araria (Bihar),https://www.redbus.in/bus-tickets/patna-to-araria
Purnea to Patna (Bihar),https://www.redbus.in/bus-tickets/purnea-to-patna
Patna (Bihar) to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/patna-to-muzaffarpur
Muzaffarpur (Bihar) to Ramgarh (Jharkhand),https://www.redbus.in/bus-tickets/muzaffarpur-to-ramgarh
Agra to Motihari,https://www.redbus.in/bus-tickets/agra-to-motihari
Motihari to Lucknow,https://www.redbus.in/bus-tickets/motihari-to-lucknow
Motihari to Agra,https://www.redbus.in/bus-tickets/motihari-to-agra
Raxaul to Kathmandu,https://www.redbus.in/bus-tickets/raxaul-to-kathmandu
Patna (Bihar) to Simrahi Bazar (Bihar),https://www.redbus.in/bus-tickets/patna-to-simrahi-bazar-bihar
Ranchi to Bihar Sharif,https://www.redbus.in/bus-tickets/ranchi-to-bihar-sharif
Hazaribagh to Ranchi,https://www.redbus.in/bus-tickets/hazaribagh-to-ranchi
Hazaribagh to Hajipur (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-hajipur
Ranchi to Hazaribagh,https://www.redbus.in/bus-tickets/ranchi-to-hazaribagh
