Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_available,Ratings,Route_name,Route_link
SBSTC-DURGAPUR - KOLKATA - 05:00 (DGP DEPOT) - 122,Non AC Seater (2+3),05:00,08:30,03h 30m,INR 150,51 Seats available,"4.2
174",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SBSTC-DURGAPUR - KARUNAMOYEE - 05:15 (DGP DEPOT) - 383,Non AC Seater (2+3),05:15,09:15,04h 00m,INR 155,37 Seats available,"4.0
298",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SBSTC-DURGAPUR - KOLKATA - 05:30 (DGP DEPOT) - 123,Non AC Seater (2+3),05:30,09:00,03h 30m,INR 150,48 Seats available,"4.0
87",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SBSTC-DURGAPUR - KOLKATA - L/S - 06:00 (DGP DEPOT) - 125,Non AC Seater (2+3),06:00,09:30,03h 30m,INR 150,48 Seats available,"3.2
102",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SBSTC-DURGAPUR - KARUNAMOYEE - 06:15 (DGP DEPOT) - 136,Non AC Seater (2+3),06:15,10:15,04h 00m,INR 155,45 Seats available,"4.1
244",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
Pammi Travels,NON A/C Sleeper (2+1),02:00,06:00,04h 00m,INR 750,22 Seats available,3.6,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
Royal Cruiser,Volvo A/C Seater (2+2),02:00,06:00,04h 00m,463,25 Seats available,"3.6
85",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
Pammi Travels,Non A/C Seater / Sleeper (2+1),02:00,06:00,04h 00m,INR 650,50 Seats available,3.6,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),06:10,09:20,03h 10m,INR 486,44 Seats available,"4.4
198",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),06:10,09:20,03h 10m,INR 486,44 Seats available,"4.0
7",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
WBTC (CTC) BARASAT-DIGHA via Bally - 38|03:45,Non AC Seater (2+3),03:45,05:55,02h 10m,INR 90,43 Seats available,"3.7
11",Barasat (West Bengal) to Nandakumar (west bengal),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-nandakumar
WBTC (CTC) HABRA-DIGHA via Bally - 26|04:30,Non AC Seater (2+3),04:30,06:35,02h 05m,INR 90,49 Seats available,"4.1
26",Barasat (West Bengal) to Nandakumar (west bengal),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-nandakumar
WBTC (CTC) HABRA-DIGHA via Bally - 26|05:00,Non AC Seater (2+3),05:00,07:05,02h 05m,INR 90,44 Seats available,"3.3
23",Barasat (West Bengal) to Nandakumar (west bengal),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-nandakumar
WBTC (CTC) Barasat-Digha Via Bally (AC VOLVO) - 201|05:25,Volvo AC Seater (2+2),05:25,07:30,02h 05m,INR 230,33 Seats available,3.5,Barasat (West Bengal) to Nandakumar (west bengal),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-nandakumar
